HHIDPN,RAGENDER,RARACEM,RAEDYRS,RAEVBRN
1010.0,1.0,1.0,16.0,
2010.0,2.0,1.0,8.0,8.0
3010.0,1.0,1.0,12.0,4.0
3020.0,2.0,1.0,16.0,1.0
10001010.0,1.0,1.0,12.0,0.0
10003020.0,1.0,1.0,16.0,0.0
10003030.0,2.0,1.0,16.0,0.0
10004010.0,1.0,1.0,16.0,2.0
10004040.0,2.0,1.0,12.0,0.0
10013010.0,1.0,1.0,12.0,1.0
10013040.0,2.0,1.0,13.0,1.0
10038010.0,1.0,1.0,16.0,2.0
10038040.0,2.0,1.0,16.0,2.0
10050010.0,2.0,3.0,17.0,0.0
10059020.0,2.0,1.0,16.0,4.0
10059030.0,1.0,1.0,17.0,4.0
10063010.0,2.0,2.0,9.0,5.0
10075020.0,2.0,3.0,8.0,1.0
10075030.0,1.0,1.0,12.0,1.0
10083010.0,1.0,2.0,10.0,4.0
10083020.0,2.0,2.0,11.0,4.0
10090010.0,2.0,2.0,12.0,
10094010.0,2.0,2.0,12.0,
10097010.0,1.0,1.0,12.0,
10097040.0,2.0,1.0,11.0,2.0
10099010.0,2.0,1.0,12.0,2.0
10106010.0,1.0,1.0,17.0,3.0
10106020.0,2.0,1.0,13.0,3.0
10109020.0,2.0,1.0,17.0,
10109030.0,1.0,1.0,17.0,3.0
10114010.0,2.0,2.0,12.0,0.0
10124010.0,2.0,2.0,17.0,
10124011.0,1.0,2.0,12.0,4.0
10147010.0,2.0,3.0,8.0,8.0
10155010.0,2.0,2.0,7.0,5.0
10196010.0,2.0,2.0,12.0,3.0
10206010.0,2.0,2.0,12.0,3.0
10210010.0,2.0,3.0,7.0,9.0
10210020.0,1.0,3.0,6.0,7.0
10217010.0,2.0,3.0,4.0,
10225010.0,2.0,2.0,8.0,4.0
10237020.0,1.0,3.0,14.0,
10237030.0,2.0,3.0,17.0,
10240010.0,1.0,1.0,9.0,
10257010.0,2.0,2.0,11.0,
10281010.0,2.0,2.0,12.0,4.0
10281020.0,1.0,2.0,11.0,5.0
10299010.0,1.0,1.0,17.0,3.0
10299011.0,2.0,3.0,7.0,4.0
10299012.0,2.0,3.0,12.0,1.0
10325010.0,1.0,1.0,14.0,3.0
10325020.0,2.0,1.0,14.0,3.0
10346010.0,1.0,1.0,11.0,
10372010.0,2.0,2.0,10.0,3.0
10378010.0,2.0,2.0,16.0,2.0
10394010.0,1.0,1.0,16.0,2.0
10394040.0,2.0,1.0,17.0,2.0
10395010.0,1.0,1.0,17.0,2.0
10395020.0,2.0,1.0,15.0,2.0
10397010.0,1.0,1.0,17.0,3.0
10397040.0,2.0,1.0,16.0,3.0
10404010.0,2.0,1.0,12.0,3.0
10405010.0,1.0,1.0,16.0,
10405040.0,2.0,1.0,12.0,
10410010.0,2.0,1.0,8.0,8.0
10414020.0,2.0,1.0,4.0,3.0
10414030.0,1.0,1.0,8.0,3.0
10433010.0,2.0,1.0,12.0,1.0
10433040.0,1.0,1.0,12.0,1.0
10451010.0,2.0,3.0,16.0,3.0
10451020.0,1.0,3.0,16.0,3.0
10453010.0,2.0,1.0,12.0,3.0
10453020.0,1.0,1.0,12.0,3.0
10458020.0,1.0,1.0,13.0,2.0
10458030.0,2.0,1.0,16.0,2.0
10460010.0,2.0,1.0,12.0,2.0
10465010.0,2.0,1.0,12.0,2.0
10465020.0,1.0,1.0,14.0,3.0
10468010.0,2.0,1.0,14.0,3.0
10468020.0,1.0,1.0,12.0,2.0
10475010.0,2.0,1.0,17.0,2.0
10475011.0,1.0,1.0,17.0,2.0
10477010.0,1.0,1.0,16.0,3.0
10477020.0,2.0,1.0,12.0,3.0
10481010.0,1.0,1.0,17.0,1.0
10481020.0,2.0,1.0,17.0,1.0
10482010.0,2.0,1.0,13.0,1.0
10533010.0,2.0,2.0,17.0,6.0
10533011.0,1.0,2.0,16.0,3.0
10533020.0,1.0,2.0,14.0,5.0
10537010.0,2.0,2.0,12.0,6.0
10537011.0,1.0,2.0,12.0,5.0
10546010.0,2.0,1.0,12.0,2.0
10556010.0,2.0,2.0,12.0,
10565020.0,1.0,1.0,12.0,2.0
10565030.0,2.0,1.0,14.0,1.0
10567010.0,2.0,2.0,12.0,7.0
10568010.0,2.0,2.0,13.0,4.0
10571010.0,2.0,2.0,7.0,4.0
10571020.0,1.0,2.0,12.0,2.0
10577010.0,2.0,2.0,16.0,2.0
10577011.0,1.0,2.0,12.0,2.0
10592010.0,2.0,2.0,12.0,3.0
10600010.0,2.0,2.0,12.0,1.0
10602010.0,2.0,2.0,12.0,1.0
10611010.0,2.0,2.0,8.0,2.0
10644010.0,1.0,2.0,12.0,2.0
10644040.0,2.0,2.0,12.0,
10645020.0,2.0,2.0,8.0,4.0
10645030.0,1.0,2.0,12.0,4.0
10645031.0,2.0,2.0,12.0,5.0
10646010.0,1.0,2.0,12.0,5.0
10646020.0,2.0,2.0,12.0,6.0
10648010.0,1.0,2.0,12.0,1.0
10648020.0,2.0,2.0,12.0,1.0
10652010.0,2.0,2.0,15.0,5.0
10671010.0,1.0,2.0,13.0,2.0
10672030.0,1.0,2.0,14.0,1.0
10672031.0,2.0,2.0,17.0,1.0
10677010.0,2.0,2.0,10.0,2.0
10689010.0,2.0,2.0,16.0,2.0
10689020.0,1.0,2.0,10.0,2.0
10696010.0,2.0,2.0,17.0,2.0
10707010.0,1.0,2.0,6.0,5.0
10707020.0,2.0,2.0,4.0,5.0
10708020.0,1.0,2.0,12.0,
10708030.0,2.0,2.0,12.0,1.0
10719020.0,2.0,3.0,9.0,5.0
10719030.0,1.0,1.0,8.0,11.0
10740010.0,2.0,2.0,14.0,5.0
10751010.0,2.0,2.0,12.0,4.0
10752010.0,2.0,2.0,11.0,
10756010.0,2.0,2.0,9.0,4.0
10756011.0,1.0,2.0,10.0,4.0
10766010.0,2.0,2.0,8.0,3.0
10769010.0,1.0,1.0,16.0,3.0
10769040.0,2.0,1.0,12.0,1.0
10773020.0,2.0,3.0,11.0,3.0
10773030.0,1.0,3.0,17.0,2.0
10775020.0,2.0,1.0,13.0,3.0
10775030.0,1.0,1.0,17.0,3.0
10776010.0,1.0,1.0,17.0,1.0
10781010.0,2.0,1.0,16.0,4.0
10781040.0,1.0,1.0,14.0,4.0
10818010.0,1.0,3.0,14.0,3.0
10818040.0,2.0,1.0,13.0,3.0
10821030.0,2.0,3.0,13.0,
10822010.0,1.0,1.0,12.0,6.0
10822040.0,2.0,1.0,13.0,4.0
10853010.0,1.0,1.0,15.0,
10893010.0,2.0,1.0,17.0,0.0
10896010.0,2.0,2.0,17.0,2.0
10902010.0,1.0,2.0,14.0,1.0
10917010.0,2.0,2.0,16.0,3.0
10923020.0,1.0,1.0,17.0,2.0
10923021.0,2.0,3.0,13.0,1.0
10923030.0,2.0,1.0,15.0,2.0
10926010.0,1.0,1.0,15.0,
10926040.0,2.0,1.0,17.0,
10929010.0,1.0,1.0,17.0,2.0
10929040.0,2.0,1.0,14.0,2.0
10941010.0,2.0,1.0,12.0,2.0
10951010.0,1.0,1.0,17.0,
10956010.0,2.0,1.0,11.0,3.0
10956040.0,1.0,1.0,8.0,
10962010.0,2.0,3.0,14.0,1.0
10962040.0,1.0,1.0,14.0,
10989010.0,1.0,1.0,9.0,3.0
10989020.0,2.0,1.0,17.0,3.0
10990010.0,2.0,1.0,11.0,
10990040.0,1.0,1.0,12.0,
10994010.0,1.0,1.0,11.0,4.0
11010010.0,1.0,1.0,12.0,0.0
11067020.0,2.0,1.0,13.0,0.0
11067030.0,1.0,1.0,12.0,0.0
11071010.0,2.0,2.0,13.0,7.0
11071020.0,1.0,2.0,12.0,
11074020.0,2.0,3.0,12.0,3.0
11074030.0,1.0,1.0,17.0,5.0
11141010.0,2.0,1.0,16.0,5.0
11141020.0,1.0,1.0,17.0,5.0
11147010.0,2.0,1.0,17.0,0.0
11155010.0,2.0,1.0,14.0,
11179010.0,2.0,1.0,12.0,4.0
11179020.0,1.0,1.0,11.0,5.0
11186010.0,2.0,2.0,12.0,4.0
11212010.0,1.0,3.0,16.0,5.0
11212011.0,2.0,3.0,16.0,2.0
11212020.0,2.0,3.0,14.0,5.0
11214010.0,2.0,2.0,17.0,
11218010.0,2.0,2.0,11.0,7.0
11219010.0,2.0,2.0,14.0,0.0
11219011.0,1.0,2.0,12.0,2.0
11219020.0,1.0,2.0,13.0,
11230010.0,2.0,2.0,7.0,8.0
11241010.0,1.0,3.0,12.0,4.0
11241040.0,2.0,3.0,12.0,4.0
11248010.0,2.0,2.0,12.0,1.0
11253010.0,2.0,2.0,10.0,2.0
